GB_Level,GB_HP,HP_Gold,GB_ATK,ATK_Gold,GB_MAP,MAP_Gold,GB_GOD,GOD_Gold
1,1,1,1,10,1,1,1,1
2,1,2,1,11,2,2,2,2
3,1,3,1,12,3,3,3,3
4,1,4,1,13,4,4,4,4
5,1,5,1,14,5,5,5,5
6,1,6,1,15,6,6,6,6
7,1,7,1,16,7,7,7,7
8,1,8,1,17,8,8,8,8
9,1,9,1,18,9,9,9,9
10,2,10,2,100,10,10,10,10
11,2,15,2,200,11,11,11,11
12,2,20,2,300,12,12,12,12
13,2,25,2,400,13,13,13,13
14,2,30,2,500,14,14,14,14
15,2,35,2,600,15,15,15,15
16,2,40,2,700,16,16,16,16
17,2,45,2,800,17,17,17,17
18,2,50,2,900,18,18,18,18
19,2,55,2,1000,19,19,19,19
20,3,60,3,2000,20,20,20,20
21,3,100,3,3000,21,21,21,21
22,3,110,3,4000,22,22,22,22
23,3,120,3,5000,23,23,23,23
24,3,130,3,6000,24,24,24,24
25,3,140,3,7000,25,25,25,25
26,3,150,3,8000,26,26,26,26
27,3,160,3,9000,27,27,27,27
28,3,170,3,10000,28,28,28,28
29,3,180,3,11000,29,29,29,29
30,5,200,4,15000,30,30,30,30
31,5,300,4,20000,31,31,31,31
32,5,400,4,25000,32,32,32,32
33,5,500,4,30000,33,33,33,33
34,5,600,4,35000,34,34,34,34
35,5,700,4,40000,35,35,35,35
36,5,800,4,45000,36,36,36,36
37,5,900,4,50000,37,37,37,37
38,5,1000,4,55000,38,38,38,38
39,5,1100,4,60000,39,39,39,39
40,10,2000,5,70000,40,40,40,40
41,10,3000,5,80000,41,41,41,41
42,10,4000,5,90000,42,42,42,42
43,10,5000,5,100000,43,43,43,43
44,10,6000,5,110000,44,44,44,44
45,10,7000,5,120000,45,45,45,45
46,10,8000,5,130000,46,46,46,46
47,10,9000,5,140000,47,47,47,47
48,10,10000,5,150000,48,48,48,48
49,10,11000,5,160000,49,49,49,49
50,20,15000,10,200000,50,50,50,50
51,20,20000,10,250000,51,51,51,51
52,20,25000,10,300000,52,52,52,52
53,20,30000,10,350000,53,53,53,53
54,20,35000,10,400000,54,54,54,54
55,20,40000,10,450000,55,55,55,55
56,20,45000,10,500000,56,56,56,56
57,20,50000,10,550000,57,57,57,57
58,20,55000,10,600000,58,58,58,58
59,20,60000,10,650000,59,59,59,59
60,50,70000,20,700000,60,60,60,60
61,50,80000,20,800000,61,61,61,61
62,50,90000,20,900000,62,62,62,62
63,50,100000,20,1000000,63,63,63,63
64,50,110000,20,1100000,64,64,64,64
65,50,120000,20,1200000,65,65,65,65
66,50,130000,20,1300000,66,66,66,66
67,50,140000,20,1400000,67,67,67,67
68,50,150000,20,1500000,68,68,68,68
69,50,160000,20,1600000,69,69,69,69
70,70,200000,30,2000000,70,70,70,70
71,70,220000,30,2200000,71,71,71,71
72,70,240000,30,2400000,72,72,72,72
73,70,260000,30,2600000,73,73,73,73
74,70,280000,30,2800000,74,74,74,74
75,70,300000,30,3000000,75,75,75,75
76,70,350000,30,3200000,76,76,76,76
77,70,400000,30,3400000,77,77,77,77
78,70,450000,30,3600000,78,78,78,78
79,70,500000,30,3800000,79,79,79,79
80,100,600000,40,4000000,80,80,80,80
81,100,700000,40,4500000,81,81,81,81
82,100,800000,40,5000000,82,82,82,82
83,100,900000,40,5500000,83,83,83,83
84,100,1000000,40,6000000,84,84,84,84
85,100,1100000,40,6500000,85,85,85,85
86,100,1200000,40,7000000,86,86,86,86
87,100,1300000,40,7500000,87,87,87,87
88,100,1400000,40,8000000,88,88,88,88
89,100,1500000,40,8500000,89,89,89,89
90,150,2000000,50,9000000,90,90,90,90
91,150,2500000,50,10000000,91,91,91,91
92,150,3000000,50,11000000,92,92,92,92
93,150,3500000,50,12000000,93,93,93,93
94,150,4000000,50,13000000,94,94,94,94
95,150,4500000,50,14000000,95,95,95,95
96,150,5000000,50,15000000,96,96,96,96
97,150,5500000,50,16000000,97,97,97,97
98,150,6000000,50,17000000,98,98,98,98
99,150,6500000,50,18000000,99,99,99,99
100,200,7000000,60,19000000,100,100,100,100
