Monster_ID,Monster_Name,Monster_Hp,Masin_Armor,Monster_Atk,Masin_Shield,Monster_Divine,Monster_Type,Drop_ID
Slime_Blue_1,파란액괴,10,0,1,0,0,1,111111
Slime_Blue_2,파란액괴,11,0,1,0,0,1,121111
Slime_Blue_3,파란액괴,12,0,1,0,0,1,131111
Slime_Blue_4,파란액괴,13,0,1,0,0,1,141111
Slime_Blue_5,파란액괴,14,0,1,0,0,1,151111
Slime_Blue_6,파란액괴,15,0,2,0,0,1,161111
Slime_Blue_7,파란액괴,16,0,2,0,0,1,171111
Slime_Blue_8,파란액괴,17,0,2,0,0,1,181111
Slime_Blue_9,파란액괴,18,0,2,0,0,1,191111
Culsu,이계의김철수,50,0,10,0,0,2,101111
Bat_1,외눈박쥐,40,5,4,10,10,1,211111
Bat_2,외눈박쥐,80,5,5,20,20,1,221111
Bat_3,외눈박쥐,120,5,6,30,30,1,231111
Bat_4,외눈박쥐,160,5,7,40,40,1,241111
Bat_5,외눈박쥐,200,10,8,50,50,1,251111
Bat_6,외눈박쥐,240,10,9,60,60,1,261111
Bat_7,외눈박쥐,280,10,10,70,70,1,271111
Bat_8,외눈박쥐,320,10,11,80,80,1,281111
Bat_9,외눈박쥐,360,10,12,90,90,1,291111
Goblin,지옥에 떨어진 고블린,1000,20,20,250,250,2,201111
Slime_Green_1,초록액괴,700,20,20,150,150,1,311111
Slime_Green_2,초록액괴,1400,30,30,350,350,1,321111
Slime_Green_3,초록액괴,2300,40,40,550,550,1,331111
Slime_Green_4,초록액괴,3000,50,50,750,750,1,341111
Slime_Green_5,초록액괴,3500,60,60,950,950,1,351111
Slime_Green_6,초록액괴,4000,70,70,1150,1150,1,361111
Slime_Green_7,초록액괴,4500,80,80,1350,1350,1,371111
Slime_Green_8,초록액괴,5000,90,90,1550,1550,1,381111
Slime_Green_9,초록액괴,5500,100,100,1750,1750,1,391111
Mushroom,지옥버섯,10000,300,500,2500,2500,2,301111
Hellwizard_1,지옥의마법사,7000,350,500,1750,1750,1,411111
Hellwizard_2,지옥의마법사,8000,400,600,2000,2000,1,421111
Hellwizard_3,지옥의마법사,9000,450,700,2250,2250,1,431111
Hellwizard_4,지옥의마법사,10000,500,800,2500,2500,1,441111
Hellwizard_5,지옥의마법사,11000,550,900,2750,2750,1,451111
Hellwizard_6,지옥의마법사,12000,600,1000,3000,3000,1,461111
Hellwizard_7,지옥의마법사,13000,650,1100,3250,3250,1,471111
Hellwizard_8,지옥의마법사,14000,700,1200,3500,3500,1,481111
Hellwizard_9,지옥의마법사,15000,750,1300,3750,3750,1,491111
Monk,지옥의수도승,30000,1000,5000,7500,7500,2,401111
Slime_Red_1,피의액괴,17000,1500,5000,4250,4250,1,511111
Slime_Red_2,피의액괴,19000,2000,5500,4750,4750,1,521111
Slime_Red_3,피의액괴,21000,2500,6000,5250,5250,1,531111
Slime_Red_4,피의액괴,23000,3000,6500,5750,5750,1,541111
Slime_Red_5,피의액괴,25000,3500,7000,6250,6250,1,551111
Slime_Red_6,피의액괴,27000,4000,7500,6750,6750,1,561111
Slime_Red_7,피의액괴,29000,4500,8000,7250,7250,1,571111
Slime_Red_8,피의액괴,31000,5000,8500,7750,7750,1,581111
Slime_Red_9,피의액괴,33000,5500,9000,8250,8250,1,591111
Skeleton,해골기사,100000,10000,20000,25000,25000,2,501111
